key,value
checklist.bedrooms.title,Bedrooms
checklist.bedrooms.paint,Peeling Paint
checklist.bedrooms.cracked,Cracked Walls
checklist.bedrooms.mold,Mold on Walls
checklist.bedrooms.water,Water Damage
checklist.bedrooms.loose,Loose Floor
checklist.bedrooms.windowGlass,Window Glass Broken
checklist.bedrooms.windowFrame,Window Frame Defective
checklist.bedrooms.door,Door Broken
checklist.bedrooms.radiators,Radiators/Risers Defective
checklist.bedrooms.ceilingFall,Ceiling Falling/Fell
checklist.bedrooms.ceilingLeaking,Ceiling Leaking
checklist.bedrooms.electricity,Electricity defective
checklist.bedrooms.electricExposed,Electric wiring exposed
checklist.bedrooms.outlets,Outlets defective
checklist.kitchen.title,Kitchen
checklist.kitchen.paint,Peeling Paint
checklist.kitchen.cookingGas,No Cooking Gas
checklist.kitchen.cracked,Cracked Walls
checklist.kitchen.mold,Mold on Walls
checklist.kitchen.water,Water Damage
checklist.kitchen.loose,Loose Floor
checklist.kitchen.baseboards,Baseboards Defective
checklist.kitchen.windowGlass,Window Glass Broken
checklist.kitchen.windowFrame,Window Frame Defective
checklist.kitchen.door,Door Broken
checklist.kitchen.radiators,Radiators/Risers Defective
checklist.kitchen.ceilingFall,Ceiling Falling/Fell
checklist.kitchen.ceilingLeaking,Ceiling Leaking
checklist.kitchen.electricity,Electricity defective
checklist.kitchen.electricExposed,Electric wiring exposed
checklist.kitchen.outlets,Outlets defective
checklist.kitchen.sink,Cracked Sink (Sink)
checklist.kitchen.leakyFaucet,Leaky Faucet (Sink)
checklist.kitchen.noFaucet,Faucets not installed (Sink)
checklist.kitchen.brokenFaucet,Faucets not working (Sink)
checklist.kitchen.pipesLeaking,Pipes Leaking (Sink)
checklist.kitchen.drainBlock,Drain Stoppage (Sink)
checklist.kitchen.fridgeDefective,Refrigerator Defective
checklist.kitchen.fridgeBroken,Refrigerator Broken
checklist.kitchen.stoveDefective,Stove Defective
checklist.kitchen.stoveBroken,Stove Broken
checklist.livingRoom.title,Living Room
checklist.livingRoom.paint,Peeling Paint
checklist.livingRoom.cracked,Cracked Walls
checklist.livingRoom.mold,Mold on Walls
checklist.livingRoom.water,Water Damage
checklist.livingRoom.loose,Loose Floor
checklist.livingRoom.baseboards,Baseboards Defective
checklist.livingRoom.windowGlass,Window Glass Broken
checklist.livingRoom.windowFrame,Window Frame Defective
checklist.livingRoom.door,Door Broken
checklist.livingRoom.radiators,Radiators/Risers Defective
checklist.livingRoom.ceilingFall,Ceiling Falling/Fell
checklist.livingRoom.ceilingLeaking,Ceiling Leaking
checklist.livingRoom.electricity,Electricity defective
checklist.livingRoom.electricExposed,Electric wiring exposed
checklist.livingRoom.outlets,Outlets defective
checklist.bathroom.title,Bathroom
checklist.bathroom.paint,Peeling Paint
checklist.bathroom.cracked,Cracked Walls
checklist.bathroom.mold,Mold on Walls
checklist.bathroom.water,Water Damage
checklist.bathroom.loose,Loose Floor
checklist.bathroom.baseboards,Baseboards Defective
checklist.bathroom.windowGlass,Window Glass Broken
checklist.bathroom.windowFrame,Window Frame Defective
checklist.bathroom.door,Door Broken
checklist.bathroom.radiators,Radiators/Risers Defective
checklist.bathroom.ceilingFall,Ceiling Falling/Fell
checklist.bathroom.ceilingLeaking,Ceiling Leaking
checklist.bathroom.electricity,Electricity defective
checklist.bathroom.electricExposed,Electric wiring exposed
checklist.bathroom.outlets,Outlets defective
checklist.bathroom.toiletBroken,Toilet not working (Toilet)
checklist.bathroom.toiletLeaking,Toilet leaking (Toilet)
